Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,LineCode5,Lat,Lon,Address.Street,Address.City,Address.State,Address.Zip,Line,Order
B09,Forest Glen,,,RD,---,---,---,---,39.015413,-77.042953,9730 Georgia Avenue,Forest Glen,MD,20910,Red,25
B10,Wheaton,,,RD,---,---,---,---,39.038558,-77.051098,11171 Georgia Avenue,Silver Spring,MD,20902,Red,26
B11,Glenmont,,,RD,---,---,---,---,39.061713,-77.05341,12501 Georgia Avenue,Silver Spring,MD,20906,Red,27
N06,Wiehle-Reston East,,,SV,---,---,---,---,38.947753,-77.340179,1862 Wiehle Avenue,Reston,VA,20190,Silver,1
N04,Spring Hill,,,SV,---,---,---,---,38.929273,-77.241988,1576 Spring Hill Road,Vienna,VA,22182,Silver,2
N03,Greensboro,,,SV,---,---,---,---,38.919749,-77.235192,8305 Leesburg Pike,Vienna,VA,22182,Silver,3
N02,Tysons Corner,,,SV,---,---,---,---,38.920056,-77.223314,1943 Chain Bridge Road,McLean,VA,22102,Silver,4
N01,McLean,,,SV,---,---,---,---,38.924478,-77.210167,1824 Dolley Madison Boulevard,McLean,VA,22102,Silver,5
K05,East Falls Church,,,OR,SV,---,---,---,38.885841,-77.157177,2001 N. Sycamore St.,Arlington,VA,22205,Silver,6
K04,Ballston-MU,,,OR,SV,---,---,---,38.882071,-77.111845,4230 Fairfax Drive,Arlington,VA,22201,Silver,7
K03,Virginia Square-GMU,,,OR,SV,---,---,---,38.88331,-77.104267,3600 Fairfax Drive,Arlington,VA,22201,Silver,8
K02,Clarendon,,,OR,SV,---,---,---,38.886373,-77.096963,3100 Wilson Blvd,Arlington,VA,22201,Silver,9
K01,Court House,,,OR,SV,---,---,---,38.891499,-77.08391,2100 Wilson Blvd,Arlington,VA,22201,Silver,10
C05,Rosslyn,,,BL,OR,SV,---,---,38.896595,-77.07146,1850 N. Moore Street,Arlington,VA,22209,Silver,11
C04,Foggy Bottom-GWU,,,BL,OR,SV,---,---,38.900599,-77.050273,2301 I St. NW,Washington,DC,20037,Silver,12
C03,Farragut West,,,BL,OR,SV,---,---,38.901311,-77.03981,900 18th St. NW,Washington,DC,20006,Silver,13
C02,McPherson Square,,,BL,OR,SV,---,---,38.901316,-77.033652,1400 I St. NW,Washington,DC,20005,Silver,14
C01,Metro Center,A01,,SV,BL,OR,RD,---,38.898303,-77.028099,607 13th St. NW,Washington,DC,20005,Silver,15
D01,Federal Triangle,,,BL,OR,SV,---,---,38.893757,-77.028218,302 12th St. NW,Washington,DC,20004,Silver,16
D02,Smithsonian,,,BL,OR,SV,---,---,38.888022,-77.028232,1200 Independence Avenue SW,Washington,DC,20004,Silver,17
D03,L'Enfant Plaza,F03,,SV,BL,GR,OR,YL,38.884775,-77.021964,600 Maryland Avenue SW,Washington,DC,20024,Silver,18
D04,Federal Center SW,,,BL,OR,SV,---,---,38.884958,-77.01586,401 3rd Street SW,Washington,DC,20024,Silver,19
D05,Capitol South,,,BL,OR,SV,---,---,38.884968,-77.005137,355 First Street SE,Washington,DC,20003,Silver,20
D06,Eastern Market,,,BL,OR,SV,---,---,38.884124,-76.995334,701 Pennsylvania Avenue SE,Washington,DC,20003,Silver,21
D07,Potomac Ave,,,BL,OR,SV,---,---,38.880841,-76.985721,700 14th Street SE,Washington,DC,20003,Silver,22
D08,Stadium-Armory,,,BL,OR,SV,---,---,38.88594,-76.977485,192 19th St. SE,Washington,DC,20003,Silver,23
G01,Benning Road,,,BL,SV,---,---,---,38.890488,-76.938291,4500 Benning Road,Washington,DC,20019,Silver,24
G02,Capitol Heights,,,BL,SV,---,---,---,38.889757,-76.913382,133 Central Avenue,Capitol Heights,MD,20743,Silver,25
G03,Addison Road-Seat Pleasant,,,BL,SV,---,---,---,38.886713,-76.893592,100 Addison Road S.,Capitol Heights,MD,20743,Silver,26
G04,Morgan Boulevard,,,BL,SV,---,---,---,38.8913,-76.8682,300 Garrett Morgan Blvd.,Landover,MD,20785,Silver,27
G05,Largo Town Center,,,BL,SV,---,---,---,38.9008,-76.8449,Largo Town Center 9000 Lottsford Road,Largo,MD,20774,Silver,28
E10,Greenbelt,,,GR,YL,---,---,---,39.011036,-76.911362,5717 Greenbelt Metro Drive,Greenbelt,MD,20740,Yellow,1
E09,College Park-U of Md,,,GR,YL,---,---,---,38.978523,-76.928432,4931 Calvert Road,College Park,MD,20740,Yellow,2
E08,Prince George's Plaza,,,GR,YL,---,---,---,38.965276,-76.956182,3575 East West Highway,Hyattsville,MD,20782,Yellow,3
E07,West Hyattsville,,,GR,YL,---,---,---,38.954931,-76.969881,2700 Hamilton St.,Hyattsville,MD,20782,Yellow,4
E06,Fort Totten,B06,,YL,GR,RD,---,---,38.951777,-77.002174,550 Galloway Street NE,Washington,DC,20011,Yellow,5
E05,Georgia Ave-Petworth,,,GR,YL,---,---,---,38.936077,-77.024728,3700 Georgia Avenue NW,Washington,DC,20010,Yellow,6
E04,Columbia Heights,,,GR,YL,---,---,---,38.928672,-77.032775,3030 14th St. NW,Washington,DC,20009,Yellow,7
E03,U Street/African-Amer Civil War Memorial/Cardozo,,,GR,YL,---,---,---,38.916489,-77.028938,1240 U Street NW,Washington,DC,20009,Yellow,8
E02,Shaw-Howard U,,,GR,YL,---,---,---,38.912919,-77.022194,1701 8th St. NW,Washington,DC,20001,Yellow,9
