FIPS,County/Equivalent,Federal District Court,Public Attorney Search,State
13101,"Echols County, GA",Middle District of Georgia,No,Georgia
13103,"Effingham County, GA",Southern District of Georgia,No,Georgia
13105,"Elbert County, GA",Middle District of Georgia,No,Georgia
13107,"Emanuel County, GA",Southern District of Georgia,No,Georgia
13109,"Evans County, GA",Southern District of Georgia,No,Georgia
13111,"Fannin County, GA",Northern District of Georgia,No,Georgia
13113,"Fayette County, GA",Northern District of Georgia,No,Georgia
13115,"Floyd County, GA",Northern District of Georgia,No,Georgia
13117,"Forsyth County, GA",Northern District of Georgia,No,Georgia
13119,"Franklin County, GA",Middle District of Georgia,No,Georgia
13121,"Fulton County, GA",Northern District of Georgia,No,Georgia
13123,"Gilmer County, GA",Northern District of Georgia,No,Georgia
13125,"Glascock County, GA",Southern District of Georgia,No,Georgia
13127,"Glynn County, GA",Southern District of Georgia,No,Georgia
13129,"Gordon County, GA",Northern District of Georgia,No,Georgia
13131,"Grady County, GA",Middle District of Georgia,No,Georgia
13133,"Greene County, GA",Middle District of Georgia,No,Georgia
13135,"Gwinnett County, GA",Northern District of Georgia,No,Georgia
13137,"Habersham County, GA",Northern District of Georgia,No,Georgia
13139,"Hall County, GA",Northern District of Georgia,No,Georgia
13141,"Hancock County, GA",Middle District of Georgia,No,Georgia
13143,"Haralson County, GA",Northern District of Georgia,No,Georgia
13145,"Harris County, GA",Middle District of Georgia,No,Georgia
